time_ms,type,worker_id,cpu,memory_mb,gpu,job_id,duration_ms,priority
0,worker_added,machine-1093339,32,32676,0,,,
0,worker_added,machine-1274979,32,65470,0,,,
0,worker_added,machine-1295363356,32,32676,0,,,
0,worker_added,machine-1441724561,32,32676,0,,,
0,worker_added,machine-1765533101,32,65470,0,,,
0,worker_added,machine-257347049,32,98173,0,,,
0,worker_added,machine-2852041,32,32676,0,,,
0,worker_added,machine-2853955965,32,65470,0,,,
0,worker_added,machine-2887748136,32,65470,0,,,
0,worker_added,machine-294847189,32,32676,0,,,
0,worker_added,machine-294895301,32,32676,0,,,
0,worker_added,machine-322055066,32,32676,0,,,
0,worker_added,machine-336030351,32,32676,0,,,
0,worker_added,machine-336069331,32,32676,0,,,
0,worker_added,machine-3652042894,32,65470,0,,,
0,worker_added,machine-38686564,32,32676,0,,,
0,worker_added,machine-38707774,32,32676,0,,,
0,worker_added,machine-38750921,32,32676,0,,,
0,worker_added,machine-3890293102,32,65470,0,,,
0,worker_added,machine-3958001362,32,32676,0,,,
0,worker_added,machine-4132907989,32,65470,0,,,
0,worker_added,machine-4479483611,32,65470,0,,,
0,worker_added,machine-4490872448,32,65470,0,,,
0,worker_added,machine-47970830,32,32676,0,,,
0,worker_added,machine-4820092151,64,131072,0,,,
0,worker_added,machine-4820248123,64,131072,0,,,
0,worker_added,machine-486827,32,65470,0,,,
0,worker_added,machine-6567586,32,65470,0,,,
0,worker_added,machine-6567630,32,65470,0,,,
0,worker_added,machine-7247489,32,65470,0,,,
0,worker_added,machine-82789745,32,32676,0,,,
0,worker_added,machine-974254,32,65470,0,,,
3308,job_submitted,,1,2036,0,task-515042969-6,26169,0
4046,job_submitted,,4,1564,0,task-6250345153-878,2366735,0
4046,job_submitted,,4,2084,0,task-6251639646-0,69682,9
5587,job_submitted,,1,2036,0,task-515042969-7,25111,0
7403,job_submitted,,1,2036,0,task-515042969-26,25742,0
8159,job_submitted,,1,2036,0,task-515042969-24,28062,0
8963,job_submitted,,1,2036,0,task-515042969-15,24040,0
8963,job_submitted,,1,2036,0,task-515042969-9,29644,0
9855,job_submitted,,1,2036,0,task-515042969-14,26525,0
10633,job_submitted,,1,2036,0,task-515042969-5,31421,0
10633,job_submitted,,1,2036,0,task-515042969-17,20383,0
12141,job_submitted,,4,611,0,task-6251668759-0,48575,0
12882,job_submitted,,1,2036,0,task-515042969-23,29106,0
12883,job_submitted,,1,2036,0,task-515042969-12,23439,0
12883,job_submitted,,1,2036,0,task-515042969-4,23439,0
13709,job_submitted,,4,1564,0,task-6250345153-822,2153913,0
13709,job_submitted,,1,2036,0,task-515042969-3,25901,0
13709,job_submitted,,1,2036,0,task-515042969-8,17287,0
13709,job_submitted,,1,2036,0,task-515042969-25,23851,0
16005,job_submitted,,1,2036,0,task-515042969-21,24084,0
17115,job_submitted,,2,2084,0,task-6251668917-0,34678,1
17869,job_submitted,,1,2036,0,task-515042969-0,27253,0
18629,job_submitted,,1,2036,0,task-515042969-19,16090,0
19396,job_submitted,,0,204,0,task-6251668761-0,28114,2
20142,job_submitted,,1,2036,0,task-515042969-2,41452,0
20934,job_submitted,,1,2036,0,task-515042969-13,22029,0
21638,job_submitted,,1,2036,0,task-515042969-22,17965,0
21639,job_submitted,,1,2036,0,task-515042969-1,25099,0
24892,job_submitted,,1,2036,0,task-515042969-10,18801,0
24893,job_submitted,,4,815,0,task-5285926325-0,21915,9
25598,job_submitted,,1,2036,0,task-515042969-18,26311,0
28470,job_submitted,,1,2036,0,task-515042969-16,35990,0
